run, problem, method, Expansions, GoalTests, NewNodes, plan_size, time_elapsed,
5,p1,breadth_first_search,43,56,180,6,0.0325665109994588
5,p1,uniform_cost_search,55,57,224,6,0.0394580790016334
5,p2,astar_search_h_ignore_preconditions,1450,1452,13303,9,4.497280585004773
5,p2,astar_search_h_pg_levelsum,86,88,841,9,52.040836808999
5,p2,depth_first_graph_search,582,583,5211,575,3.115259794001758
5,p2,greedy_best_first_graph_search_h_1,958,960,8622,19,2.48766111499571
5,p2,breadth_first_search,3343,4609,30509,9,15.65877905200613
5,p2,uniform_cost_search,4839,4841,43911,9,22.4340096670057
5,p3,astar_search_h_ignore_preconditions,5040,5042,44944,12,17.58975432100123
5,p3,astar_search_h_pg_levelsum,316,318,2912,12,270.779203738005
5,p3,depth_first_graph_search,627,628,5176,596,3.307242445000156
5,p3,greedy_best_first_graph_search_h_1,5578,5580,49147,26,17.18913674700161
5,p3,breadth_first_search,14663,18098,129631,12,103.2725625820021
5,p3,uniform_cost_search,18221,18223,159612,12,55.7481009629991
5,p4,astar_search_h_ignore_preconditions,62385,62387,696647,15,401.212840950996
5,p4,astar_search_h_pg_levelsum,697,699,7964,16,1612.982964199996
5,p4,depth_first_graph_search,1509,1510,15488,1452,28.6621023839979
5,p4,greedy_best_first_graph_search_h_1,123356,123358,1358016,29,707.495774766997
5,p4,breadth_first_search,
0,p4,uniform_cost_search,
1,p4,uniform_cost_search,
2,p4,uniform_cost_search,
3,p4,uniform_cost_search,
4,p4,uniform_cost_search,
5,p4,uniform_cost_search,

